epoch,dropout_0_train_acc,dropout_0_train_loss,dropout_0_val_acc,dropout_0_val_loss,dropout_0.1_train_acc,dropout_0.1_train_loss,dropout_0.1_val_acc,dropout_0.1_val_loss,dropout_0.3_train_acc,dropout_0.3_train_loss,dropout_0.3_val_acc,dropout_0.3_val_loss,dropout_0.5_train_acc,dropout_0.5_train_loss,dropout_0.5_val_acc,dropout_0.5_val_loss,dropout_0.7_train_acc,dropout_0.7_train_loss,dropout_0.7_val_acc,dropout_0.7_val_loss,dropout_0.9_train_acc,dropout_0.9_train_loss,dropout_0.9_val_acc,dropout_0.9_val_loss
0.01,33.635,109.83609211444855,33.1,1.098667860031128,33.165,110.00901865959167,33.1,1.1010429859161377,33.163,109.81771206855774,33.1,1.098389744758606,33.244,109.79731118679047,33.8,1.098048210144043,33.884,109.82916295528412,34.2,1.0982686281204224,33.2,109.8701092004776,33.8,1.0985177755355835
0.02,33.653,109.79323256015778,33.1,1.0980325937271118,33.206,109.81602323055267,33.2,1.0990192890167236,33.165,109.80989801883698,33.1,1.0983333587646484,33.635,109.79227530956268,33.1,1.098236083984375,33.635,109.82460844516754,33.1,1.0983679294586182,33.2,109.86274790763855,33.8,1.0985047817230225
0.03,34.995,109.74382030963898,34.0,1.0976065397262573,34.644,109.68187725543976,34.1,1.097505807876587,33.164,109.80285346508026,33.1,1.0981783866882324,33.635,109.82722914218903,33.1,1.0987985134124756,33.64,109.81010031700134,33.1,1.0982226133346558,33.2,109.86039710044861,33.8,1.0985029935836792
0.04,42.036,109.63819801807404,39.4,1.0966180562973022,41.14,109.62799143791199,39.0,1.096759557723999,33.165,109.74197995662689,33.1,1.0976924896240234,33.635,109.8492990732193,33.1,1.0991547107696533,33.77,109.80111491680145,33.0,1.0981476306915283,33.2,109.86014342308044,33.8,1.0985023975372314
0.05,45.1,109.51393866539001,43.8,1.0954548120498657,33.471,109.6021648645401,34.2,1.0963612794876099,33.163,109.66642785072327,33.1,1.0970501899719238,33.635,109.79461693763733,33.1,1.0986155271530151,39.794,109.78340685367584,38.5,1.0979632139205933,33.2,109.86121225357056,33.8,1.0985268354415894
0.06,43.943,109.44522511959076,45.6,1.0946694612503052,33.208,109.53934216499329,33.8,1.0957424640655518,41.698,109.60360896587372,40.5,1.096500039100647,33.635,109.70691633224487,33.1,1.097651720046997,39.983,109.7518938779831,38.8,1.0976698398590088,33.2,109.86524665355682,33.8,1.098552942276001
0.07,41.98,109.29487824440002,43.6,1.093284249305725,33.269,109.47450339794159,33.8,1.0952270030975342,44.254,109.52548038959503,43.3,1.095768690109253,46.346,109.62301862239838,44.6,1.0966382026672363,38.031,109.72431182861328,37.0,1.0974299907684326,33.2,109.86903131008148,33.8,1.0985667705535889
0.08,48.835,109.00556778907776,47.1,1.0905898809432983,39.69,109.23684120178223,39.8,1.0932260751724243,44.552,109.41926455497742,43.6,1.0947015285491943,38.441,109.5770560503006,39.9,1.0960431098937988,40.905,109.69563782215118,38.8,1.097205638885498,33.2,109.87167966365814,33.8,1.098587989807129
0.09,46.733,108.76303827762604,45.8,1.0883947610855103,40.354,108.92698335647583,41.5,1.0905693769454956,41.768,109.29253137111664,38.8,1.093446135520935,35.557,109.51759004592896,35.3,1.0953978300094604,34.315,109.66310620307922,34.5,1.0970004796981812,33.2,109.87446677684784,33.8,1.098612904548645
0.1,44.5,108.51683831214905,44.5,1.0861632823944092,38.621,108.60967636108398,37.8,1.0878573656082153,39.471,109.11133646965027,38.2,1.0916860103607178,35.309,109.43554329872131,34.7,1.0945490598678589,33.382,109.63493084907532,33.1,1.0968749523162842,33.2,109.87573981285095,33.8,1.0986307859420776
