epoch,hidden_size_50_train_acc,hidden_size_50_train_loss,hidden_size_50_val_acc,hidden_size_50_val_loss,hidden_size_100_train_acc,hidden_size_100_train_loss,hidden_size_100_val_acc,hidden_size_100_val_loss,hidden_size_250_train_acc,hidden_size_250_train_loss,hidden_size_250_val_acc,hidden_size_250_val_loss,hidden_size_500_train_acc,hidden_size_500_train_loss,hidden_size_500_val_acc,hidden_size_500_val_loss,hidden_size_1000_train_acc,hidden_size_1000_train_loss,hidden_size_1000_val_acc,hidden_size_1000_val_loss
0.01,33.202,110.12475216388702,33.9,1.1003998517990112,33.893,109.81161653995514,32.8,1.0982029438018799,33.635,109.9932074546814,33.1,1.1004210710525513,33.165,109.85298657417297,33.1,1.0987704992294312,42.268,109.71944975852966,40.5,1.0973984003067017
0.02,33.2,110.06324875354767,33.8,1.0998784303665161,33.165,109.80058562755585,33.1,1.098292350769043,34.259,109.75372660160065,33.5,1.0978130102157593,33.322,109.59791135787964,33.8,1.096178412437439,33.167,109.79177248477936,33.1,1.0984148979187012
0.03,33.2,110.02975404262543,33.8,1.0995962619781494,33.165,109.79323279857635,33.1,1.0983610153198242,33.241,109.64521813392639,33.8,1.0965158939361572,33.201,109.46871268749237,33.8,1.0949180126190186,33.165,109.74498760700226,33.1,1.0977784395217896
0.04,33.2,109.99270009994507,33.8,1.0992833375930786,33.165,109.77602696418762,33.1,1.0982047319412231,33.223,109.64400720596313,33.8,1.0965259075164795,36.485,109.10843431949615,36.3,1.0917081832885742,33.165,109.6670857667923,33.1,1.0969046354293823
0.05,33.2,109.9556086063385,33.8,1.0989773273468018,33.165,109.75213027000427,33.1,1.0978869199752808,34.243,109.60204756259918,33.8,1.0963517427444458,47.533,108.64917635917664,44.0,1.0876290798187256,34.421,109.49056673049927,34.1,1.0952152013778687
0.06,33.2,109.92374396324158,33.8,1.0987286567687988,33.165,109.67093169689178,33.1,1.0970674753189087,33.456,109.42686688899994,33.6,1.094862461090088,40.973,108.16875958442688,39.3,1.0835645198822021,38.979,109.24117887020111,36.9,1.0928922891616821
0.07,33.2,109.89585721492767,33.8,1.098512053489685,33.216,109.59023475646973,33.0,1.096220850944519,34.181,109.21422219276428,34.4,1.092980980873108,39.35,107.3762583732605,37.8,1.0765962600708008,46.586,108.86468839645386,44.4,1.0895075798034668
0.08,33.2,109.8680876493454,33.8,1.0982770919799805,42.544,109.50220859050751,42.9,1.095359206199646,40.886,109.03278613090515,38.4,1.091346263885498,52.156,106.03624629974365,49.2,1.0633726119995117,47.508,108.26452875137329,45.1,1.083953857421875
0.09,33.2,109.84412431716919,33.8,1.098109245300293,37.638,109.41602051258087,37.4,1.0945111513137817,43.98,108.72678565979004,42.3,1.0884556770324707,45.108,105.24735832214355,43.0,1.0551050901412964,46.656,107.32250368595123,44.6,1.0747982263565063
0.1,33.525,109.81650638580322,33.8,1.0979160070419312,36.531,109.31959939002991,36.8,1.093567967414856,48.337,108.23736488819122,47.1,1.0837507247924805,44.584,103.72375869750977,42.0,1.0414611101150513,45.844,106.00748264789581,44.7,1.0622386932373047
0.11,36.886,109.78776478767395,37.4,1.097728967666626,39.45,109.1868325471878,38.1,1.0923166275024414,50.251,107.54170835018158,49.3,1.0769867897033691,49.475,101.74354338645935,46.8,1.0240579843521118,45.614,104.36019504070282,44.2,1.046127438545227
0.12,36.045,109.75885248184204,36.8,1.0975297689437866,43.559,109.01178133487701,40.9,1.0906790494918823,44.344,106.79512667655945,41.8,1.0697306394577026,51.284,100.30665814876556,49.8,1.009220004081726,44.62,102.91009950637817,41.9,1.0330122709274292
0.13,34.499,109.72913432121277,34.1,1.0973058938980103,46.557,108.77528774738312,45.1,1.0884356498718262,43.39,105.9289401769638,41.0,1.0616446733474731,52.754,98.6012591123581,52.8,0.9922595024108887,47.939,101.56840562820435,45.7,1.0211549997329712
0.14,35.877,109.69931554794312,36.0,1.0970383882522583,47.814,108.47585952281952,46.8,1.0855796337127686,44.531,104.73468708992004,41.9,1.0504435300827026,54.127,96.75040453672409,54.1,0.9742196798324585,47.836,100.76908111572266,46.3,1.0140453577041626
0.15,37.239,109.66455137729645,37.4,1.0966997146606445,48.708,108.10319578647614,45.9,1.0820611715316772,48.121,103.46519780158997,47.8,1.0382333993911743,53.077,96.9479016661644,51.1,0.9788578748703003,48.615,100.33126813173294,47.9,1.0075106620788574
0.16,40.068,109.62750232219696,40.5,1.0963348150253296,49.934,107.66794526576996,47.1,1.0779680013656616,49.349,102.77965879440308,50.8,1.0312992334365845,55.181,94.49594897031784,55.2,0.9515737295150757,47.197,102.0040442943573,46.1,1.0312625169754028
0.17,40.483,109.58427727222443,41.1,1.095913052558899,52.485,107.16235339641571,52.5,1.0732369422912598,49.291,101.32308655977249,49.7,1.0170226097106934,54.235,95.86232846975327,54.9,0.9614721536636353,49.405,99.09804445505142,48.9,0.9960325360298157
0.18,40.212,109.53619575500488,40.5,1.0954748392105103,52.093,106.62568795681,50.6,1.0682034492492676,48.994,100.56815999746323,47.3,1.011501431465149,53.754,95.79790359735489,54.2,0.9654971957206726,48.859,100.50985538959503,48.1,1.007176160812378
0.19,42.095,109.48663127422333,43.8,1.0949945449829102,51.068,106.0337940454483,50.4,1.062720775604248,50.76,99.44483828544617,50.5,0.9992089867591858,56.454,92.96605551242828,56.2,0.9376780986785889,51.054,97.59542751312256,50.7,0.9835273623466492
0.2,41.973,109.43399703502655,43.5,1.0944589376449585,51.066,105.31373882293701,50.2,1.0559675693511963,51.611,99.25354796648026,52.1,0.9965208768844604,55.365,94.90740305185318,55.1,0.9560721516609192,49.779,98.91551285982132,49.9,1.002375602722168
0.21,36.926,109.38957810401917,38.3,1.0940594673156738,51.853,104.53503930568695,51.5,1.0484150648117065,52.332,98.15413326025009,52.5,0.9875195026397705,57.226,91.74258708953857,57.5,0.9243958592414856,51.116,97.27126878499985,50.1,0.9844157099723816
