epoch,scheme_mult_train_acc,scheme_mult_train_loss,scheme_mult_val_acc,scheme_mult_val_loss,scheme_add_train_acc,scheme_add_train_loss,scheme_add_val_acc,scheme_add_val_loss,scheme_cat_train_acc,scheme_cat_train_loss,scheme_cat_val_acc,scheme_cat_val_loss
0.01,33.2,109.87000334262848,33.8,1.0985496044158936,33.635,109.91386640071869,33.1,1.0993934869766235,33.2,109.9613287448883,33.8,1.0992521047592163
0.02,33.204,109.84920275211334,33.8,1.098448395729065,33.504,109.81867754459381,33.9,1.0981764793395996,33.2,109.78087890148163,33.8,1.0975925922393799
0.03,35.671,109.82878160476685,34.5,1.0983859300613403,33.2,109.77795112133026,33.8,1.0977693796157837,33.204,109.64161562919617,33.8,1.0964864492416382
0.04,35.579,109.8125388622284,34.6,1.09832763671875,37.997,109.8002108335495,38.9,1.0980267524719238,46.978,109.55815362930298,44.0,1.095870852470398
0.05,33.429,109.79397749900818,33.4,1.0980921983718872,33.165,109.92143976688385,33.1,1.0993249416351318,37.269,109.43985784053802,36.7,1.094906210899353
0.06,33.481,109.76992273330688,33.4,1.0979058742523193,33.165,109.8908840417862,33.1,1.0992357730865479,34.167,109.2837176322937,34.0,1.0936318635940552
0.07,38.169,109.73881018161774,38.4,1.097702145576477,33.165,109.76910316944122,33.1,1.0980250835418701,35.599,109.01155066490173,35.4,1.0911469459533691
0.08,39.831,109.6979855298996,38.9,1.0973528623580933,33.461,109.61762988567352,33.3,1.0963702201843262,45.34,108.62600874900818,46.1,1.087357521057129
0.09,40.203,109.63674592971802,39.0,1.0968232154846191,42.189,109.56432604789734,42.7,1.0956571102142334,47.333,108.13527035713196,45.6,1.0824484825134277
0.1,38.511,109.55294787883759,39.2,1.0959655046463013,40.052,109.5756174325943,39.1,1.0954794883728027,45.277,107.51595795154572,42.6,1.076382040977478
0.11,40.037,109.444451212883,38.7,1.0949594974517822,35.374,109.61478805541992,36.7,1.0956199169158936,45.789,106.68203890323639,43.3,1.0683521032333374
0.12,40.362,109.31018078327179,39.0,1.0938031673431396,34.305,109.62838852405548,35.6,1.0956392288208008,46.841,105.65672767162323,44.1,1.0586857795715332
0.13,38.869,109.17686796188354,37.9,1.092885136604309,35.009,109.53563451766968,36.5,1.0947304964065552,48.29,104.49159526824951,45.2,1.0478774309158325
0.14,39.954,108.92386150360107,39.1,1.0903332233428955,37.603,109.33489644527435,37.5,1.092912197113037,50.268,103.07272028923035,47.6,1.034096121788025
0.15,39.888,108.65633547306061,40.1,1.0874783992767334,40.422,109.09728920459747,39.0,1.0907779932022095,51.324,102.27004194259644,51.6,1.024911880493164
0.16,42.611,108.34563100337982,42.6,1.0843862295150757,42.454,108.85720825195312,40.9,1.08865225315094,51.0,101.39609003067017,51.5,1.0149285793304443
0.17,45.096,107.88708209991455,43.9,1.0801060199737549,43.109,108.59871399402618,41.8,1.0864120721817017,50.492,100.03891694545746,47.8,1.0026087760925293
0.18,41.867,107.59797072410583,40.5,1.077804446220398,44.989,108.28811490535736,44.9,1.0836477279663086,50.257,99.82831907272339,48.3,1.003903865814209
0.19,43.597,106.76508784294128,43.4,1.0701009035110474,46.741,107.86295366287231,45.7,1.0795990228652954,52.243,98.36939120292664,50.6,0.98869389295578
0.2,41.768,107.68031454086304,42.4,1.0795514583587646,44.835,107.58609306812286,44.9,1.0775015354156494,53.348,97.29569548368454,51.9,0.9763041734695435
0.21,44.905,105.88322389125824,44.4,1.0625118017196655,46.832,106.93292105197906,45.6,1.0709953308105469,53.734,96.72348749637604,52.3,0.9692652821540833
0.22,45.702,105.50278162956238,44.6,1.0588992834091187,46.178,106.35342264175415,43.5,1.0650795698165894,54.126,95.58791476488113,52.5,0.9607291221618652
0.23,44.353,105.72590434551239,41.4,1.0615017414093018,44.957,105.91580784320831,42.4,1.061137318611145,53.636,95.81590563058853,51.7,0.9664345979690552
0.24,45.784,105.47198593616486,45.5,1.0604115724563599,45.578,105.34489166736603,44.0,1.0565171241760254,54.703,94.45634078979492,53.7,0.9521073698997498
0.25,43.301,105.96019721031189,43.9,1.0668524503707886,48.083,104.57746839523315,46.1,1.048398733139038,55.402,93.63255900144577,54.7,0.9416671991348267
0.26,45.051,104.78019642829895,43.7,1.055031180381775,46.538,104.6715179681778,44.5,1.0492089986801147,54.479,94.78708600997925,53.0,0.9513550996780396
0.27,45.821,104.36510360240936,45.2,1.0504634380340576,45.204,105.38571441173553,46.1,1.0561615228652954,56.053,92.687628865242,55.5,0.9325085878372192
0.28,47.148,103.79651725292206,45.2,1.0462278127670288,48.397,103.48860967159271,47.6,1.0364289283752441,55.895,92.73780393600464,55.4,0.937100887298584
0.29,45.949,103.91821813583374,43.9,1.047344446182251,45.581,104.62846422195435,45.4,1.0462397336959839,56.422,92.10097008943558,55.9,0.9302272796630859
0.3,46.602,103.43098831176758,43.4,1.042783260345459,47.499,103.00086414813995,46.7,1.0300514698028564,56.527,91.94805806875229,56.2,0.9267067909240723
0.31,48.65,103.1714860200882,48.1,1.041936993598938,47.151,103.75618410110474,46.5,1.0394952297210693,56.434,92.44746458530426,56.8,0.9280210733413696
0.32,48.374,102.56679773330688,48.0,1.0336625576019287,47.434,103.79764008522034,46.6,1.0392206907272339,57.367,91.20030617713928,56.4,0.9176450371742249
0.33,46.969,103.01675403118134,46.6,1.0367735624313354,48.351,102.81150728464127,48.3,1.0264979600906372,57.289,91.05192667245865,57.8,0.9223929047584534
0.34,48.417,102.20090788602829,48.0,1.0286002159118652,48.88,102.77358466386795,49.4,1.0245909690856934,56.407,92.35674041509628,58.6,0.9387672543525696
0.35,49.339,101.74519950151443,49.1,1.0248615741729736,49.2,101.59418815374374,48.0,1.0133352279663086,58.041,90.25569695234299,59.1,0.9149430394172668
0.36,48.025,101.98356461524963,46.5,1.0266106128692627,46.95,103.2181094288826,45.2,1.0324084758758545,57.62,91.15241277217865,57.1,0.9176355600357056
0.37,49.209,101.48615032434464,49.8,1.017038106918335,47.109,102.97543919086456,45.7,1.0307079553604126,57.896,90.74776673316956,56.7,0.9129931926727295
0.38,47.613,102.63304042816162,47.8,1.027134656906128,50.011,100.93534046411514,49.7,1.0089149475097656,57.889,90.1355973482132,57.3,0.9101411700248718
0.39,49.272,101.37406075000763,48.5,1.0159672498703003,49.484,101.68728864192963,49.7,1.0147285461425781,58.494,89.48369699716568,58.2,0.9068241715431213
0.4,50.603,100.48862254619598,50.4,1.006083607673645,48.269,102.60425835847855,47.5,1.0242754220962524,59.03,89.18200349807739,59.5,0.9058230519294739
0.41,47.417,101.85788893699646,46.7,1.0200260877609253,49.081,101.67332369089127,48.8,1.0155738592147827,58.983,89.3571303486824,58.4,0.9079930782318115
0.42,47.276,102.60908997058868,47.7,1.0241634845733643,51.123,100.51985830068588,51.3,1.005493402481079,58.916,89.46454185247421,58.3,0.9083309173583984
0.43,50.725,100.221794962883,51.0,1.002291202545166,50.056,100.69643253087997,51.1,1.0089428424835205,59.354,88.87100929021835,58.1,0.9007030129432678
0.44,49.961,101.07380545139313,50.5,1.0121920108795166,48.732,101.38115775585175,47.7,1.0162559747695923,59.18,88.61445325613022,57.7,0.8992936611175537
0.45,48.57,101.18550938367844,49.4,1.0121690034866333,49.304,101.26854372024536,47.5,1.0138676166534424,58.952,88.61462408304214,57.7,0.9011659622192383
0.46,48.816,101.46582424640656,49.3,1.0118321180343628,50.762,100.05288511514664,49.5,1.000780701637268,59.745,87.92859029769897,58.2,0.8955346345901489
