epoch,hidden_size_50_train_acc,hidden_size_50_train_loss,hidden_size_50_val_acc,hidden_size_50_val_loss,hidden_size_100_train_acc,hidden_size_100_train_loss,hidden_size_100_val_acc,hidden_size_100_val_loss,hidden_size_250_train_acc,hidden_size_250_train_loss,hidden_size_250_val_acc,hidden_size_250_val_loss,hidden_size_500_train_acc,hidden_size_500_train_loss,hidden_size_500_val_acc,hidden_size_500_val_loss,hidden_size_1000_train_acc,hidden_size_1000_train_loss,hidden_size_1000_val_acc,hidden_size_1000_val_loss
0.01,34.696,109.7207168340683,35.4,1.0967868566513062,35.391,109.7109192609787,34.9,1.0973588228225708,34.689,109.66241657733917,34.3,1.096953272819519,33.631,109.69160270690918,33.1,1.0983521938323975,38.712,109.61499273777008,36.5,1.0972267389297485
0.02,38.067,109.65616726875305,38.1,1.0964829921722412,40.027,109.56748139858246,37.2,1.0961731672286987,37.325,109.77648878097534,35.0,1.099217176437378,38.607,109.6455694437027,37.4,1.0966322422027588,34.364,109.67273473739624,35.0,1.0972191095352173
0.03,37.912,109.62965404987335,36.5,1.0963298082351685,34.966,109.57804417610168,35.0,1.0961582660675049,34.892,109.63699471950531,34.3,1.0975477695465088,33.392,109.71619820594788,33.2,1.0976022481918335,33.451,109.81727838516235,33.8,1.098103642463684
0.04,38.714,109.57323348522186,38.4,1.0957509279251099,36.604,109.63821804523468,35.9,1.0975619554519653,37.847,109.36018061637878,36.6,1.0945981740951538,33.23,109.73472499847412,33.1,1.0975043773651123,33.931,109.49832677841187,34.3,1.0941691398620605
0.05,39.142,109.49728012084961,38.5,1.0951778888702393,38.093,109.4561015367508,37.4,1.095658779144287,40.63,109.12078213691711,39.8,1.0924620628356934,33.308,109.56387972831726,33.1,1.096138834953308,39.02,109.00911545753479,37.3,1.0932987928390503
0.06,37.653,109.44063448905945,37.7,1.0938799381256104,40.519,109.2041552066803,39.0,1.0931553840637207,43.232,108.88409221172333,44.1,1.0902196168899536,33.844,109.37145733833313,34.2,1.0936444997787476,41.083,108.65883028507233,39.7,1.0895342826843262
0.07,37.772,109.37148439884186,37.7,1.0936874151229858,42.242,109.01416027545929,42.5,1.0906407833099365,44.032,108.59920763969421,41.8,1.0880961418151855,37.164,109.0935411453247,38.4,1.0919815301895142,41.173,107.7054933309555,41.1,1.0774080753326416
0.08,40.208,109.26271963119507,39.1,1.0926569700241089,42.352,108.8936311006546,40.6,1.0892566442489624,43.941,108.29080832004547,42.2,1.0847870111465454,44.895,108.77246260643005,46.3,1.0889647006988525,43.415,107.10419797897339,43.0,1.0735938549041748
0.09,42.307,109.15804636478424,42.4,1.0916416645050049,40.654,108.8022313117981,40.0,1.0882198810577393,43.892,107.91006004810333,41.8,1.0814656019210815,39.148,108.45459115505219,39.2,1.0853910446166992,42.297,106.7929550409317,39.9,1.0829838514328003
0.1,42.845,109.0567638874054,44.6,1.0898380279541016,40.196,108.69784283638,38.8,1.087336540222168,45.775,107.39224421977997,44.4,1.077178955078125,40.177,108.01554036140442,39.3,1.081847906112671,42.545,105.81273484230042,42.4,1.0642136335372925
0.11,42.477,108.94169354438782,42.1,1.0901237726211548,41.923,108.53253674507141,39.9,1.086723804473877,47.426,106.79077398777008,46.4,1.069906234741211,42.378,107.33957612514496,44.6,1.0742048025131226,42.071,105.78558468818665,41.6,1.0699540376663208
0.12,40.941,108.8580242395401,40.9,1.0895766019821167,43.26,108.29144263267517,41.9,1.0835479497909546,47.022,106.23692786693573,44.6,1.0692285299301147,44.523,106.37020444869995,45.8,1.0644418001174927,45.324,105.12484860420227,44.0,1.0555815696716309
0.13,39.781,108.7782096862793,39.3,1.087838888168335,43.645,108.01812219619751,40.8,1.0818090438842773,46.348,105.58906424045563,43.2,1.0651017427444458,44.392,105.8154205083847,43.3,1.0614891052246094,48.361,103.41463994979858,47.1,1.0450834035873413
0.14,39.983,108.65518283843994,39.9,1.0874921083450317,43.493,107.72896778583527,41.3,1.0784716606140137,43.255,105.11183154582977,41.7,1.057908058166504,47.476,104.40789711475372,47.8,1.0432558059692383,45.672,104.0561671257019,46.6,1.0379225015640259
0.15,40.594,108.50063359737396,41.2,1.0871580839157104,44.068,107.41830372810364,43.2,1.0761851072311401,43.937,104.51424789428711,41.1,1.0569322109222412,46.661,104.63659596443176,49.2,1.037850260734558,49.024,102.2739827632904,49.1,1.0295788049697876
0.16,43.127,108.31369268894196,42.3,1.084702491760254,45.815,107.06757593154907,43.9,1.0725886821746826,46.805,103.71381163597107,46.1,1.046567440032959,46.525,103.25418508052826,45.7,1.0361649990081787,46.23,105.22077548503876,45.4,1.0674880743026733
0.17,45.332,108.13867521286011,44.5,1.0820186138153076,46.188,106.77881479263306,45.7,1.0709736347198486,49.009,103.24000108242035,49.7,1.0405457019805908,48.687,102.31618928909302,50.4,1.008052945137024,47.583,102.98842132091522,44.8,1.0508337020874023
0.18,45.332,107.98163437843323,45.7,1.0810060501098633,46.513,106.42232692241669,47.2,1.0663292407989502,46.705,102.81504011154175,45.1,1.0392382144927979,48.321,102.15042757987976,47.1,1.0277293920516968,49.954,101.11644172668457,47.4,1.0302770137786865
0.19,43.435,107.84015274047852,42.8,1.0803096294403076,48.229,106.00840044021606,48.2,1.0642694234848022,47.699,102.41106009483337,45.3,1.038971185684204,49.768,101.6999169588089,48.6,1.0203086137771606,48.785,101.72888171672821,48.4,1.0253183841705322
0.2,42.46,107.67747068405151,40.4,1.079601764678955,48.087,105.62476563453674,47.6,1.0598528385162354,50.018,102.05844032764435,49.2,1.0296752452850342,50.289,100.71312606334686,51.2,1.0063303709030151,47.182,102.78099298477173,46.8,1.0212959051132202
