epoch,scheme_mult_train_acc,scheme_mult_train_loss,scheme_mult_val_acc,scheme_mult_val_loss,scheme_add_train_acc,scheme_add_train_loss,scheme_add_val_acc,scheme_add_val_loss,scheme_cat_train_acc,scheme_cat_train_loss,scheme_cat_val_acc,scheme_cat_val_loss
0.01,33.2,109.88254714012146,33.8,1.0987547636032104,33.209,111.06366169452667,33.3,1.1110607385635376,33.893,109.63310897350311,33.5,1.097273349761963
0.02,33.635,109.87593758106232,33.1,1.098777413368225,33.592,110.39214396476746,33.3,1.1045275926589966,33.566,109.77151954174042,33.8,1.09820556640625
0.03,33.635,109.86677074432373,33.1,1.0987412929534912,37.662,109.60027348995209,37.1,1.0965722799301147,33.782,109.56941545009613,34.1,1.0957578420639038
0.04,33.635,109.86351251602173,33.1,1.098775029182434,34.994,109.84982371330261,34.7,1.1001677513122559,37.851,109.22234976291656,37.3,1.0927082300186157
0.05,33.635,109.86387479305267,33.1,1.0988346338272095,34.219,109.27131116390228,33.2,1.0949314832687378,39.542,108.60535764694214,39.3,1.0871655941009521
0.06,33.635,109.86712908744812,33.1,1.0989148616790771,36.25,109.32847094535828,35.0,1.0943619012832642,40.998,107.65748083591461,40.6,1.0779271125793457
0.07,33.635,109.86850249767303,33.1,1.0989261865615845,38.425,108.8097311258316,38.9,1.087371587753296,44.596,106.46458780765533,43.9,1.0692417621612549
0.08,33.635,109.86786997318268,33.1,1.09888756275177,37.814,108.77493560314178,37.2,1.089324712753296,45.048,106.04806363582611,44.9,1.0616284608840942
0.09,33.635,109.86905717849731,33.1,1.0989022254943848,39.809,108.30212020874023,40.0,1.0867657661437988,42.469,106.20053029060364,40.6,1.0739660263061523
0.1,33.635,109.86994183063507,33.1,1.0989106893539429,41.63,107.8266772031784,41.6,1.0780799388885498,46.681,103.97501301765442,46.9,1.0462483167648315
0.11,33.635,109.86958253383636,33.1,1.0989123582839966,42.933,107.38452744483948,46.6,1.0708733797073364,45.788,104.856454372406,47.7,1.0437287092208862
0.12,33.635,109.8717633485794,33.1,1.0989543199539185,38.159,109.67048382759094,38.7,1.0971686840057373,46.888,103.4291564822197,46.0,1.0340484380722046
0.13,33.635,109.87590181827545,33.1,1.0990333557128906,42.935,107.16737937927246,42.9,1.0769354104995728,47.947,103.14145123958588,48.0,1.0308375358581543
0.14,33.635,109.88313579559326,33.1,1.0991666316986084,44.096,106.67072784900665,43.7,1.0684635639190674,48.148,103.11754763126373,48.9,1.0337971448898315
0.15,33.635,109.88889694213867,33.1,1.0992659330368042,43.458,106.21908211708069,41.8,1.0653314590454102,49.67,101.33644968271255,48.5,1.0100305080413818
0.16,33.635,109.89104843139648,33.1,1.099303126335144,44.025,105.89135217666626,42.0,1.0623027086257935,48.937,101.37543404102325,49.5,1.0035946369171143
0.17,33.635,109.89159274101257,33.1,1.0993211269378662,45.37,105.30893445014954,42.2,1.0620750188827515,48.892,101.30258899927139,50.1,1.0073299407958984
0.18,33.635,109.89117515087128,33.1,1.0993266105651855,45.249,105.18182826042175,46.1,1.0524194240570068,50.424,100.25994497537613,48.8,1.0133156776428223
0.19,33.635,109.8909182548523,33.1,1.0993295907974243,44.869,105.26583886146545,42.6,1.0605487823486328,50.956,99.9908617734909,52.6,0.9961461424827576
0.2,33.635,109.8938295841217,33.1,1.0993735790252686,44.652,105.3382238149643,42.8,1.062181830406189,50.174,100.70057910680771,50.1,1.0036287307739258
0.21,33.635,109.89183115959167,33.1,1.0993356704711914,45.165,105.1107839345932,44.6,1.0614535808563232,51.217,99.86386382579803,51.1,0.9961801171302795
0.22,33.635,109.88705503940582,33.1,1.0992556810379028,44.649,105.43470871448517,43.1,1.0696228742599487,51.693,99.30429416894913,52.8,0.986895740032196
0.23,33.635,109.88270831108093,33.1,1.0991822481155396,44.36,105.64375615119934,45.2,1.068173885345459,51.202,99.13571012020111,53.1,0.9837834239006042
0.24,33.635,109.8783403635025,33.1,1.0991015434265137,46.645,104.22268748283386,46.0,1.048128604888916,51.026,99.00348657369614,49.8,0.989881694316864
0.25,33.635,109.8727639913559,33.1,1.0989986658096313,46.717,103.97613275051117,43.6,1.059880256652832,51.202,98.68702578544617,51.6,0.9833645820617676
0.26,33.635,109.868479013443,33.1,1.0989081859588623,46.972,103.78889060020447,45.0,1.0488876104354858,51.811,98.22006815671921,52.1,0.9802654981613159
0.27,33.635,109.86494207382202,33.1,1.0988247394561768,46.734,103.83036696910858,46.9,1.044416069984436,52.847,97.32080549001694,52.2,0.9801836609840393
0.28,33.635,109.86159539222717,33.1,1.0987476110458374,46.595,103.8744980096817,45.5,1.0490342378616333,52.869,97.46018826961517,53.0,0.9785218834877014
0.29,33.635,109.85985910892487,33.1,1.098691463470459,46.894,103.75710034370422,46.3,1.0424360036849976,52.598,97.73208755254745,53.0,0.9665346145629883
0.3,33.635,109.85939562320709,33.1,1.0986391305923462,46.772,103.80190360546112,45.0,1.0441863536834717,53.134,97.13740360736847,52.7,0.9739629030227661
0.31,33.245,109.86057710647583,33.8,1.0985969305038452,47.013,103.86168146133423,47.7,1.043445348739624,53.632,96.09673595428467,53.5,0.9790331125259399
